Timestamp,water_level,dispensed_count
18/11/2021 19:00,800,1
18/11/2021 19:06,794,2
18/11/2021 19:06,788,4
18/11/2021 19:10,782,8
18/11/2021 19:17,776,9
18/11/2021 19:17,770,12
18/11/2021 19:20,764,15
18/11/2021 19:21,758,17
18/11/2021 19:21,752,19
18/11/2021 19:28,746,20
18/11/2021 19:28,740,22
18/11/2021 19:38,734,23
18/11/2021 19:49,728,25
18/11/2021 19:54,722,28
18/11/2021 20:14,716,29
18/11/2021 20:14,710,31
18/11/2021 20:23,704,32
18/11/2021 20:29,698,35
18/11/2021 20:29,692,37
18/11/2021 20:30,686,38
18/11/2021 20:30,680,41
18/11/2021 20:31,674,44
18/11/2021 20:31,668,47
18/11/2021 20:31,662,50
18/11/2021 20:32,656,52
18/11/2021 20:32,650,54
18/11/2021 20:32,644,56
18/11/2021 20:33,638,59
18/11/2021 20:33,632,62
18/11/2021 20:33,626,66
18/11/2021 20:34,620,69
18/11/2021 20:34,614,73
18/11/2021 20:34,608,76
18/11/2021 20:34,602,79
18/11/2021 20:35,596,82
18/11/2021 20:35,590,85
18/11/2021 20:35,584,88
18/11/2021 20:36,578,91
18/11/2021 20:36,572,94
18/11/2021 20:36,566,96
18/11/2021 20:37,560,100
18/11/2021 20:37,554,103
18/11/2021 20:37,548,106
18/11/2021 20:37,542,109
18/11/2021 20:38,536,112
18/11/2021 20:38,530,115
18/11/2021 20:38,524,116
18/11/2021 20:39,518,118
18/11/2021 20:40,512,121
18/11/2021 20:40,506,125
18/11/2021 20:41,500,128
18/11/2021 20:41,494,132
18/11/2021 20:41,488,135
18/11/2021 20:42,482,138
18/11/2021 20:42,476,141
18/11/2021 20:42,470,144
18/11/2021 20:43,464,147
18/11/2021 20:44,458,148
18/11/2021 20:44,452,151
18/11/2021 20:44,446,154
18/11/2021 20:44,440,157
18/11/2021 20:45,434,160
18/11/2021 20:45,428,163
18/11/2021 20:45,422,166
18/11/2021 20:45,416,169
18/11/2021 20:46,410,172
18/11/2021 20:46,404,175
18/11/2021 20:46,398,178
18/11/2021 20:46,392,181
18/11/2021 20:47,386,184
18/11/2021 20:47,380,185
18/11/2021 20:47,374,187
18/11/2021 20:48,368,190
18/11/2021 20:48,362,193
18/11/2021 20:48,356,195
18/11/2021 20:49,350,197
18/11/2021 20:49,344,198
18/11/2021 20:49,338,201
18/11/2021 20:50,332,204
18/11/2021 20:50,326,207
18/11/2021 20:50,320,210
18/11/2021 20:50,314,213
18/11/2021 20:51,308,216
18/11/2021 20:51,302,219
18/11/2021 20:51,296,222
18/11/2021 20:52,290,225
19/11/2021 10:18,630,1
19/11/2021 10:19,610,2
19/11/2021 10:20,603,3
19/11/2021 10:24,590,4
